  0%|                                                                              | 0/235 [00:00<?, ?it/s]/home/ubuntu/ejpark/embed_train/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:2906: UserWarning: `max_length` is ignored when `padding`=`True` and there is no truncation strategy. To pad to max length, use `padding='max_length'`.
  warnings.warn(
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                                                                           
{'loss': 0.3542, 'grad_norm': 12.033740997314453, 'learning_rate': 1.0000000000000001e-07, 'epoch': 0.02}
{'loss': 0.3729, 'grad_norm': 12.040878295898438, 'learning_rate': 2.0000000000000002e-07, 'epoch': 0.04}
{'loss': 0.3441, 'grad_norm': 11.149096488952637, 'learning_rate': 3.0000000000000004e-07, 'epoch': 0.06}
{'loss': 0.3793, 'grad_norm': 13.24031925201416, 'learning_rate': 4.0000000000000003e-07, 'epoch': 0.09}
{'loss': 0.3855, 'grad_norm': 11.306145668029785, 'learning_rate': 5.000000000000001e-07, 'epoch': 0.11}
{'loss': 0.37, 'grad_norm': 11.53479290008545, 'learning_rate': 6.000000000000001e-07, 'epoch': 0.13}
{'loss': 0.3186, 'grad_norm': 10.761167526245117, 'learning_rate': 7.000000000000001e-07, 'epoch': 0.15}
{'loss': 0.3819, 'grad_norm': 11.773029327392578, 'learning_rate': 8.000000000000001e-07, 'epoch': 0.17}
{'loss': 0.3431, 'grad_norm': 10.504340171813965, 'learning_rate': 9.000000000000001e-07, 'epoch': 0.19}
{'loss': 0.3024, 'grad_norm': 9.532368659973145, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.21}
{'loss': 0.2849, 'grad_norm': 9.494466781616211, 'learning_rate': 1.1e-06, 'epoch': 0.23}
{'loss': 0.2708, 'grad_norm': 10.317193031311035, 'learning_rate': 1.2000000000000002e-06, 'epoch': 0.26}
{'loss': 0.2825, 'grad_norm': 9.530998229980469, 'learning_rate': 1.3e-06, 'epoch': 0.28}
{'loss': 0.2923, 'grad_norm': 8.202631950378418, 'learning_rate': 1.4000000000000001e-06, 'epoch': 0.3}
{'loss': 0.2259, 'grad_norm': 8.350834846496582, 'learning_rate': 1.5e-06, 'epoch': 0.32}
{'loss': 0.239, 'grad_norm': 7.54046630859375, 'learning_rate': 1.6000000000000001e-06, 'epoch': 0.34}
{'loss': 0.2434, 'grad_norm': 7.868048191070557, 'learning_rate': 1.7000000000000002e-06, 'epoch': 0.36}
{'loss': 0.1969, 'grad_norm': 6.6560139656066895, 'learning_rate': 1.8000000000000001e-06, 'epoch': 0.38}
{'loss': 0.1966, 'grad_norm': 6.39846658706665, 'learning_rate': 1.9000000000000002e-06, 'epoch': 0.4}
{'loss': 0.1656, 'grad_norm': 5.366744518280029, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.43}
{'loss': 0.1307, 'grad_norm': 4.314890384674072, 'learning_rate': 2.1000000000000002e-06, 'epoch': 0.45}
{'loss': 0.1519, 'grad_norm': 6.550680637359619, 'learning_rate': 2.2e-06, 'epoch': 0.47}
{'loss': 0.1665, 'grad_norm': 5.479184150695801, 'learning_rate': 2.3000000000000004e-06, 'epoch': 0.49}
{'loss': 0.1439, 'grad_norm': 4.571906566619873, 'learning_rate': 2.4000000000000003e-06, 'epoch': 0.51}
{'loss': 0.1166, 'grad_norm': 4.88886022567749, 'learning_rate': 2.5e-06, 'epoch': 0.53}
{'loss': 0.1031, 'grad_norm': 3.7223732471466064, 'learning_rate': 2.6e-06, 'epoch': 0.55}
{'loss': 0.1219, 'grad_norm': 5.1481614112854, 'learning_rate': 2.7000000000000004e-06, 'epoch': 0.57}
{'loss': 0.0923, 'grad_norm': 3.1889541149139404, 'learning_rate': 2.8000000000000003e-06, 'epoch': 0.6}
{'loss': 0.0984, 'grad_norm': 3.3520073890686035, 'learning_rate': 2.9e-06, 'epoch': 0.62}
{'loss': 0.1026, 'grad_norm': 5.116165637969971, 'learning_rate': 3e-06, 'epoch': 0.64}
{'loss': 0.0868, 'grad_norm': 3.1961519718170166, 'learning_rate': 3.1000000000000004e-06, 'epoch': 0.66}
{'loss': 0.1075, 'grad_norm': 4.269574165344238, 'learning_rate': 3.2000000000000003e-06, 'epoch': 0.68}
{'loss': 0.0832, 'grad_norm': 3.3559517860412598, 'learning_rate': 3.3000000000000006e-06, 'epoch': 0.7}
{'loss': 0.0752, 'grad_norm': 3.5325636863708496, 'learning_rate': 3.4000000000000005e-06, 'epoch': 0.72}
{'loss': 0.0443, 'grad_norm': 1.9281067848205566, 'learning_rate': 3.5e-06, 'epoch': 0.74}
{'loss': 0.0473, 'grad_norm': 2.446377754211426, 'learning_rate': 3.6000000000000003e-06, 'epoch': 0.77}
{'loss': 0.0696, 'grad_norm': 3.199369192123413, 'learning_rate': 3.7e-06, 'epoch': 0.79}
{'loss': 0.0626, 'grad_norm': 3.5530567169189453, 'learning_rate': 3.8000000000000005e-06, 'epoch': 0.81}
{'loss': 0.0926, 'grad_norm': 4.700559616088867, 'learning_rate': 3.900000000000001e-06, 'epoch': 0.83}
