  0%|                                                                              | 0/940 [00:00<?, ?it/s]/home/ubuntu/ejpark/embed_train/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:2906: UserWarning: `max_length` is ignored when `padding`=`True` and there is no truncation strategy. To pad to max length, use `padding='max_length'`.
  warnings.warn(
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                                                                           
{'loss': 0.2904, 'grad_norm': 11.047371864318848, 'learning_rate': 1.0000000000000001e-07, 'epoch': 0.01}
{'loss': 0.3457, 'grad_norm': 12.291651725769043, 'learning_rate': 2.0000000000000002e-07, 'epoch': 0.01}
{'loss': 0.3647, 'grad_norm': 12.207215309143066, 'learning_rate': 3.0000000000000004e-07, 'epoch': 0.02}
{'loss': 0.3429, 'grad_norm': 11.773723602294922, 'learning_rate': 4.0000000000000003e-07, 'epoch': 0.02}
{'loss': 0.2733, 'grad_norm': 10.526735305786133, 'learning_rate': 5.000000000000001e-07, 'epoch': 0.03}
{'loss': 0.3239, 'grad_norm': 12.025959968566895, 'learning_rate': 6.000000000000001e-07, 'epoch': 0.03}
{'loss': 0.2885, 'grad_norm': 9.817639350891113, 'learning_rate': 7.000000000000001e-07, 'epoch': 0.04}
{'loss': 0.3178, 'grad_norm': 10.77198600769043, 'learning_rate': 8.000000000000001e-07, 'epoch': 0.04}
{'loss': 0.2627, 'grad_norm': 9.52951717376709, 'learning_rate': 9.000000000000001e-07, 'epoch': 0.05}
{'loss': 0.2662, 'grad_norm': 10.030755043029785, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.05}
{'loss': 0.2578, 'grad_norm': 10.95689582824707, 'learning_rate': 1.1e-06, 'epoch': 0.06}
{'loss': 0.2349, 'grad_norm': 8.79638385772705, 'learning_rate': 1.2000000000000002e-06, 'epoch': 0.06}
{'loss': 0.2465, 'grad_norm': 8.514458656311035, 'learning_rate': 1.3e-06, 'epoch': 0.07}
{'loss': 0.2451, 'grad_norm': 8.471715927124023, 'learning_rate': 1.4000000000000001e-06, 'epoch': 0.07}
