  0%|                                 | 0/1075 [00:00<?, ?it/s]/home/ubuntu/ejpark/embed_train/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:2906: UserWarning: `max_length` is ignored when `padding`=`True` and there is no truncation strategy. To pad to max length, use `padding='max_length'`.
  warnings.warn(
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                                      
{'loss': 2.1562, 'grad_norm': 4.200131416320801, 'learning_rate': 1.0000000000000001e-07, 'epoch': 0.0}
{'loss': 2.1374, 'grad_norm': 2.755732297897339, 'learning_rate': 2.0000000000000002e-07, 'epoch': 0.01}
{'loss': 2.1723, 'grad_norm': 5.6948561668396, 'learning_rate': 3.0000000000000004e-07, 'epoch': 0.01}
{'loss': 2.1673, 'grad_norm': 4.319822788238525, 'learning_rate': 4.0000000000000003e-07, 'epoch': 0.02}
{'loss': 2.1771, 'grad_norm': 4.960574626922607, 'learning_rate': 5.000000000000001e-07, 'epoch': 0.02}
{'loss': 2.1541, 'grad_norm': 5.738583564758301, 'learning_rate': 6.000000000000001e-07, 'epoch': 0.03}
{'loss': 2.1652, 'grad_norm': 2.9907143115997314, 'learning_rate': 7.000000000000001e-07, 'epoch': 0.03}
{'loss': 2.1386, 'grad_norm': 6.695379734039307, 'learning_rate': 8.000000000000001e-07, 'epoch': 0.04}
{'loss': 2.1869, 'grad_norm': 6.091686248779297, 'learning_rate': 9.000000000000001e-07, 'epoch': 0.04}
{'loss': 2.1183, 'grad_norm': 3.6760175228118896, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.05}
{'loss': 2.1505, 'grad_norm': 4.480117321014404, 'learning_rate': 1.1e-06, 'epoch': 0.05}
{'loss': 2.1188, 'grad_norm': 3.4719438552856445, 'learning_rate': 1.2000000000000002e-06, 'epoch': 0.06}
{'loss': 2.1531, 'grad_norm': 3.7124204635620117, 'learning_rate': 1.3e-06, 'epoch': 0.06}
{'loss': 2.1167, 'grad_norm': 4.483713626861572, 'learning_rate': 1.4000000000000001e-06, 'epoch': 0.07}
{'loss': 2.1098, 'grad_norm': 13.086343765258789, 'learning_rate': 1.5e-06, 'epoch': 0.07}
{'loss': 2.1573, 'grad_norm': 3.326451301574707, 'learning_rate': 1.6000000000000001e-06, 'epoch': 0.07}
{'loss': 2.1112, 'grad_norm': 3.9436821937561035, 'learning_rate': 1.7000000000000002e-06, 'epoch': 0.08}
{'loss': 2.1441, 'grad_norm': 12.827166557312012, 'learning_rate': 1.8000000000000001e-06, 'epoch': 0.08}
{'loss': 2.1122, 'grad_norm': 4.830580711364746, 'learning_rate': 1.9000000000000002e-06, 'epoch': 0.09}
{'loss': 2.0692, 'grad_norm': 7.051277160644531, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.09}
{'loss': 2.1002, 'grad_norm': 5.554142475128174, 'learning_rate': 2.1000000000000002e-06, 'epoch': 0.1}
{'loss': 2.0325, 'grad_norm': 6.638622283935547, 'learning_rate': 2.2e-06, 'epoch': 0.1}
{'loss': 2.0656, 'grad_norm': 21.21014976501465, 'learning_rate': 2.3000000000000004e-06, 'epoch': 0.11}
{'loss': 2.0223, 'grad_norm': 11.301305770874023, 'learning_rate': 2.4000000000000003e-06, 'epoch': 0.11}
