  0%|                                                                              | 0/58195 [00:00<?, ?it/s]/home/ubuntu/ejpark/embed_train/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:2906: UserWarning: `max_length` is ignored when `padding`=`True` and there is no truncation strategy. To pad to max length, use `padding='max_length'`.
  warnings.warn(
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                                                                             
{'loss': 2.1733, 'grad_norm': 7.7632904052734375, 'learning_rate': 1.0000000000000001e-07, 'epoch': 0.0}
{'loss': 2.2035, 'grad_norm': 6.288797378540039, 'learning_rate': 2.0000000000000002e-07, 'epoch': 0.0}
{'loss': 2.1922, 'grad_norm': 133.1873779296875, 'learning_rate': 3.0000000000000004e-07, 'epoch': 0.0}
{'loss': 2.1552, 'grad_norm': 5.983124732971191, 'learning_rate': 4.0000000000000003e-07, 'epoch': 0.0}
{'loss': 2.1703, 'grad_norm': 17.311325073242188, 'learning_rate': 5.000000000000001e-07, 'epoch': 0.0}
{'loss': 2.1944, 'grad_norm': 7.658616065979004, 'learning_rate': 6.000000000000001e-07, 'epoch': 0.0}
{'loss': 2.1439, 'grad_norm': 8.546297073364258, 'learning_rate': 7.000000000000001e-07, 'epoch': 0.0}
{'loss': 2.1619, 'grad_norm': 9.515836715698242, 'learning_rate': 8.000000000000001e-07, 'epoch': 0.0}
{'loss': 2.2883, 'grad_norm': 16.372344970703125, 'learning_rate': 9.000000000000001e-07, 'epoch': 0.0}
{'loss': 2.1276, 'grad_norm': 16.027362823486328, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.0}
{'loss': 2.2035, 'grad_norm': 5.3439836502075195, 'learning_rate': 1.1e-06, 'epoch': 0.0}
{'loss': 2.1763, 'grad_norm': 7.651216506958008, 'learning_rate': 1.2000000000000002e-06, 'epoch': 0.0}
{'loss': 2.1361, 'grad_norm': 11.425907135009766, 'learning_rate': 1.3e-06, 'epoch': 0.0}
{'loss': 2.1557, 'grad_norm': 7.712734222412109, 'learning_rate': 1.4000000000000001e-06, 'epoch': 0.0}
{'loss': 2.119, 'grad_norm': 5.422046184539795, 'learning_rate': 1.5e-06, 'epoch': 0.0}
{'loss': 2.1382, 'grad_norm': 9.585830688476562, 'learning_rate': 1.6000000000000001e-06, 'epoch': 0.0}
{'loss': 2.1415, 'grad_norm': 13.103742599487305, 'learning_rate': 1.7000000000000002e-06, 'epoch': 0.0}
{'loss': 2.1282, 'grad_norm': 20.213085174560547, 'learning_rate': 1.8000000000000001e-06, 'epoch': 0.0}
{'loss': 2.1202, 'grad_norm': 39.85472869873047, 'learning_rate': 1.9000000000000002e-06, 'epoch': 0.0}
{'loss': 2.1328, 'grad_norm': 8.690191268920898, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.0}
{'loss': 2.1642, 'grad_norm': 29.096006393432617, 'learning_rate': 2.1000000000000002e-06, 'epoch': 0.0}
{'loss': 2.0684, 'grad_norm': 19.318523406982422, 'learning_rate': 2.2e-06, 'epoch': 0.0}
{'loss': 2.1168, 'grad_norm': 9.05671215057373, 'learning_rate': 2.3000000000000004e-06, 'epoch': 0.0}
{'loss': 2.0744, 'grad_norm': 10.18433666229248, 'learning_rate': 2.4000000000000003e-06, 'epoch': 0.0}
{'loss': 2.1132, 'grad_norm': 8.189192771911621, 'learning_rate': 2.5e-06, 'epoch': 0.0}
{'loss': 2.1164, 'grad_norm': 12.113418579101562, 'learning_rate': 2.6e-06, 'epoch': 0.0}
{'loss': 2.0579, 'grad_norm': 13.867327690124512, 'learning_rate': 2.7000000000000004e-06, 'epoch': 0.0}
{'loss': 2.028, 'grad_norm': 12.862265586853027, 'learning_rate': 2.8000000000000003e-06, 'epoch': 0.0}
{'loss': 2.0391, 'grad_norm': 12.740540504455566, 'learning_rate': 2.9e-06, 'epoch': 0.0}
{'loss': 2.0002, 'grad_norm': 19.23517608642578, 'learning_rate': 3e-06, 'epoch': 0.0}
{'loss': 2.0151, 'grad_norm': 14.87081241607666, 'learning_rate': 3.1000000000000004e-06, 'epoch': 0.0}
{'loss': 2.0268, 'grad_norm': 39.05290222167969, 'learning_rate': 3.2000000000000003e-06, 'epoch': 0.0}
{'loss': 1.965, 'grad_norm': 14.267809867858887, 'learning_rate': 3.3000000000000006e-06, 'epoch': 0.0}
{'loss': 1.8581, 'grad_norm': 14.932001113891602, 'learning_rate': 3.4000000000000005e-06, 'epoch': 0.0}
{'loss': 1.9015, 'grad_norm': 707.4180297851562, 'learning_rate': 3.5e-06, 'epoch': 0.0}
{'loss': 1.8074, 'grad_norm': 17.921480178833008, 'learning_rate': 3.6000000000000003e-06, 'epoch': 0.0}
{'loss': 1.7496, 'grad_norm': 27.04599952697754, 'learning_rate': 3.7e-06, 'epoch': 0.0}
{'loss': 1.555, 'grad_norm': 33.53670120239258, 'learning_rate': 3.8000000000000005e-06, 'epoch': 0.0}
{'loss': 1.5725, 'grad_norm': 26.418832778930664, 'learning_rate': 3.900000000000001e-06, 'epoch': 0.0}
{'loss': 1.2886, 'grad_norm': 63.34013748168945, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.0}
{'loss': 1.312, 'grad_norm': 79.65945434570312, 'learning_rate': 4.1e-06, 'epoch': 0.0}
{'loss': 1.0216, 'grad_norm': 45.18143081665039, 'learning_rate': 4.2000000000000004e-06, 'epoch': 0.0}
{'loss': 0.7553, 'grad_norm': 58.407135009765625, 'learning_rate': 4.3e-06, 'epoch': 0.0}
{'loss': 0.6182, 'grad_norm': 34.28798294067383, 'learning_rate': 4.4e-06, 'epoch': 0.0}
{'loss': 0.4013, 'grad_norm': 32.36221694946289, 'learning_rate': 4.5e-06, 'epoch': 0.0}
{'loss': 0.5972, 'grad_norm': 52.87133026123047, 'learning_rate': 4.600000000000001e-06, 'epoch': 0.0}
{'loss': 0.6219, 'grad_norm': 298.26177978515625, 'learning_rate': 4.7e-06, 'epoch': 0.0}
{'loss': 0.4922, 'grad_norm': 114.77242279052734, 'learning_rate': 4.800000000000001e-06, 'epoch': 0.0}
{'loss': 0.4706, 'grad_norm': 167.45852661132812, 'learning_rate': 4.9000000000000005e-06, 'epoch': 0.0}
{'loss': 0.5162, 'grad_norm': 95.17788696289062, 'learning_rate': 5e-06, 'epoch': 0.0}
{'loss': 0.6889, 'grad_norm': 67.83401489257812, 'learning_rate': 5.1e-06, 'epoch': 0.0}
{'loss': 0.566, 'grad_norm': 80.17973327636719, 'learning_rate': 5.2e-06, 'epoch': 0.0}
{'loss': 0.6222, 'grad_norm': 104.87065124511719, 'learning_rate': 5.300000000000001e-06, 'epoch': 0.0}
{'loss': 0.5475, 'grad_norm': 145.2963409423828, 'learning_rate': 5.400000000000001e-06, 'epoch': 0.0}
{'loss': 0.4974, 'grad_norm': 114.37651824951172, 'learning_rate': 5.500000000000001e-06, 'epoch': 0.0}
{'loss': 0.5656, 'grad_norm': 60.472991943359375, 'learning_rate': 5.600000000000001e-06, 'epoch': 0.0}
{'loss': 0.3883, 'grad_norm': 71.1932373046875, 'learning_rate': 5.7e-06, 'epoch': 0.0}
{'loss': 0.3679, 'grad_norm': 40.536834716796875, 'learning_rate': 5.8e-06, 'epoch': 0.0}
{'loss': 0.322, 'grad_norm': 99.10296630859375, 'learning_rate': 5.9e-06, 'epoch': 0.01}
{'loss': 0.2734, 'grad_norm': 51.12012481689453, 'learning_rate': 6e-06, 'epoch': 0.01}
{'loss': 0.4426, 'grad_norm': 48.27947235107422, 'learning_rate': 6.1e-06, 'epoch': 0.01}
